,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb performanceMetrics.js:100:15
,Rust,"Firefox",667.00,67,66.74,64.00,42491,15.01,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,67,66.48,64.00,42558,15.13,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,66.30,64.00,42624,15.15,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,67,66.00,64.00,42691,15.07,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,67,66.25,64.00,42758,15.10,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.84,64.00,42824,15.26,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.50,64.00,42889,15.26,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.62,64.00,42956,15.29,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.96,64.00,43022,15.21,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.63,64.00,43088,15.26,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.28,64.00,43154,15.23,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.61,64.00,43220,15.29,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,65.03,64.00,43285,15.45,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,65.28,64.00,43350,15.38,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,66,65.48,64.00,43416,15.36,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,64.45,64.00,43481,15.42,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,62.61,64.00,43546,15.60,14.00,22.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,64.90,64.00,43611,15.46,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,65.29,64.00,43675,15.45,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,65.29,64.00,43741,15.51,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,64.72,64.00,43806,15.48,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,64.63,64.00,43871,15.52,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,64.82,64.00,43936,15.54,14.00,16.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,65,64.06,64.00,44001,15.60,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.50,64.00,44065,15.75,14.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,64.42,64.00,44129,15.67,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.85,64.00,44193,15.69,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,64.67,64.00,44257,15.64,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.58,64.00,44321,15.67,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.07,64.00,44385,15.73,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.57,64.00,44449,15.72,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.55,64.00,44513,15.83,14.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.17,64.00,44577,15.86,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.35,64.00,44641,15.80,14.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.71,64.00,44705,15.83,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,64,63.48,64.00,44769,15.83,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,63.54,64.00,44832,15.89,15.00,17.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,63,63.35,64.00,44895,15.89,15.00,17.00, performanceMetrics.js:106:13
