 ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,Rust,"Chromium",667.30,181,181.22,64.00,12248,5.55,4.70,6.60,40.16
 ,Rust,"Chromium",667.30,180,181.28,64.00,12428,5.56,3.90,7.40,40.37
 ,Rust,"Chromium",667.30,180,180.78,64.00,12608,5.56,5.00,6.20,40.58
 ,Rust,"Chromium",667.30,180,181.90,64.00,12788,5.56,4.60,6.90,40.01
 ,Rust,"Chromium",667.30,181,180.11,64.00,12970,5.56,4.60,6.20,40.23
 ,Rust,"Chromium",667.30,180,180.25,64.00,13150,5.56,4.50,6.80,40.44
 ,Rust,"Chromium",667.30,181,180.61,64.00,13330,5.55,4.40,6.40,40.66
 ,Rust,"Chromium",667.30,181,180.41,64.00,13510,5.55,4.90,6.60,40.07
 ,Rust,"Chromium",667.30,180,180.88,64.00,13690,5.56,4.90,6.20,40.29
 ,Rust,"Chromium",667.30,181,181.32,64.00,13873,5.56,4.30,7.10,40.50
 ,Rust,"Chromium",667.30,180,181.71,64.00,14053,5.56,4.50,7.00,39.92
 ,Rust,"Chromium",667.30,181,181.28,64.00,14233,5.55,4.50,7.10,40.13
 ,Rust,"Chromium",667.30,180,182.47,64.00,14413,5.56,4.50,8.80,45.91
 ,Rust,"Chromium",667.30,180,181.43,64.00,14593,5.56,4.50,7.80,46.12
 ,Rust,"Chromium",667.30,180,182.49,64.00,14772,5.56,4.50,9.00,45.44
 ,Rust,"Chromium",667.30,181,181.67,64.00,14953,5.55,4.60,7.30,45.65
 ,Rust,"Chromium",667.30,180,182.06,64.00,15133,5.56,4.60,7.40,45.87
 ,Rust,"Chromium",667.30,180,180.51,64.00,15313,5.56,4.60,6.60,46.08
 ,Rust,"Chromium",667.30,180,182.23,64.00,15493,5.56,4.70,8.10,45.50
 ,Rust,"Chromium",667.30,181,181.25,64.00,15676,5.56,4.70,7.30,45.71
 ,Rust,"Chromium",667.30,180,181.36,64.00,15856,5.56,4.80,7.30,45.92
 ,Rust,"Chromium",667.30,181,181.17,64.00,16036,5.55,4.80,6.90,46.14
 ,Rust,"Chromium",667.30,179,180.72,64.00,16214,5.60,4.90,12.50,45.55
 ,Rust,"Chromium",667.30,180,181.43,64.00,16394,5.57,4.90,7.30,45.76
 ,Rust,"Chromium",667.30,180,179.94,64.00,16575,5.58,4.90,7.20,45.98
 ,Rust,"Chromium",667.30,180,180.43,64.00,16755,5.56,4.90,7.60,46.19
 ,Rust,"Chromium",667.30,180,178.62,64.00,16935,5.58,5.00,7.60,45.60
 ,Rust,"Chromium",667.30,181,179.96,64.00,17115,5.54,5.10,7.10,45.82
 ,Rust,"Chromium",667.30,181,181.18,64.00,17298,5.55,5.10,7.20,46.03
 ,Rust,"Chromium",667.30,180,180.61,64.00,17478,5.57,5.10,9.50,46.86
 ,Rust,"Chromium",667.30,181,180.42,64.00,17658,5.55,5.20,6.40,47.08
 ,Rust,"Chromium",667.30,178,177.59,64.00,17835,5.65,5.20,7.50,47.29
 ,Rust,"Chromium",667.30,179,179.63,64.00,18016,5.61,5.30,6.60,47.50
 ,Rust,"Chromium",667.30,179,176.47,64.00,18194,5.61,5.30,7.20,46.87
 ,Rust,"Chromium",667.30,177,176.79,64.00,18371,5.66,5.40,6.70,47.08
 ,Rust,"Chromium",667.30,175,176.68,64.00,18546,5.71,5.40,6.80,47.29
 ,Rust,"Chromium",667.30,175,173.96,64.00,18721,5.71,5.50,6.70,47.49
 ,Rust,"Chromium",667.30,174,173.44,64.00,18894,5.78,5.50,6.80,46.89
 ,Rust,"Chromium",667.30,171,168.11,64.00,19065,5.86,5.50,6.60,47.09
 ,Rust,"Chromium",667.30,169,168.85,64.00,19236,5.94,5.60,7.00,47.29
