[Log] ,lang,browser,wasm_exec_ms,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb,click_latency_ms (performanceMetrics.js, line 126)
[Log] ,JS,"GnomeWeb",,,52,62.00,61.00,80550,19.42,19.00,22.00,,77.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,53.00,60.00,81100,15.87,14.00,17.00,,77.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,52,63.00,61.00,81150,19.52,18.00,21.00,,95.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,52.00,60.00,81700,16.27,15.00,37.00,,95.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,52,61.00,61.00,81740,19.58,19.00,21.00,,78.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,52.00,60.00,82290,16.05,14.00,17.00,,78.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,49,62.00,60.00,82320,20.41,18.00,41.00,,59.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,59,50.00,60.00,82870,17.14,15.00,68.00,,59.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,58.00,61.00,82870,16.06,15.00,17.00,,59.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,51,63.00,61.00,82900,20.00,19.00,22.00,,58.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,51.00,60.00,83470,16.19,14.00,36.00,,58.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,50,61.00,60.00,83490,20.18,19.00,22.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,63,51.00,61.00,84060,15.95,14.00,17.00,,39.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,50,62.00,60.00,84080,20.04,19.00,22.00,,40.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,62,51.00,61.00,84650,16.23,14.00,38.00,,40.00 (performanceMetrics.js, line 132)
[Log] ,JS,"GnomeWeb",,,50,61.00,60.00,84670,20.32,20.00,22.00,,41.00 (performanceMetrics.js, line 132)
