 ,lang,browser,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
performanceMetrics.js:132 ,JS,"Chromium",,103,104.00,61.00,40920,9.74,7.90,12.00,85.21
performanceMetrics.js:132 ,JS,"Chromium",,101,103.00,60.00,41520,9.92,8.00,12.20,58.35
performanceMetrics.js:132 ,JS,"Chromium",,100,101.00,60.00,42120,10.08,8.10,12.40,64.05
performanceMetrics.js:132 ,JS,"Chromium",,97,100.00,61.00,42730,10.36,8.30,17.00,62.50
performanceMetrics.js:132 ,JS,"Chromium",,96,97.00,60.00,43330,10.46,8.40,12.70,54.79
performanceMetrics.js:132 ,JS,"Chromium",,95,95.00,60.00,43930,10.57,8.50,12.90,80.32
performanceMetrics.js:132 ,JS,"Chromium",,93,95.00,61.00,44540,10.78,8.60,13.10,89.39
performanceMetrics.js:132 ,JS,"Chromium",,89,94.00,60.00,45140,11.34,8.70,17.10,74.73
performanceMetrics.js:132 ,JS,"Chromium",,91,89.00,61.00,45750,11.04,8.70,13.20,80.53
performanceMetrics.js:132 ,JS,"Chromium",,89,91.00,60.00,46350,11.30,8.90,13.40,79.34
performanceMetrics.js:132 ,JS,"Chromium",,88,89.00,60.00,46950,11.44,9.10,13.40,74.60
performanceMetrics.js:132 ,JS,"Chromium",,87,88.00,60.00,47550,11.60,9.20,13.70,66.04
performanceMetrics.js:132 ,JS,"Chromium",,84,87.00,61.00,48160,11.98,9.30,18.30,84.86
performanceMetrics.js:132 ,JS,"Chromium",,83,83.00,60.00,48760,12.07,9.50,14.30,62.38
performanceMetrics.js:132 ,JS,"Chromium",,83,83.00,61.00,49370,12.15,9.50,14.30,75.01
performanceMetrics.js:132 ,JS,"Chromium",,82,83.00,60.00,49970,12.34,9.70,14.40,84.66
performanceMetrics.js:132 ,JS,"Chromium",,79,82.00,60.00,50570,12.78,9.70,24.40,80.81
performanceMetrics.js:132 ,JS,"Chromium",,77,78.00,60.00,51170,13.01,10.10,15.30,66.60
performanceMetrics.js:132 ,JS,"Chromium",,75,78.00,61.00,51780,13.39,10.30,23.20,58.80
performanceMetrics.js:132 ,JS,"Chromium",,75,75.00,60.00,52380,13.38,10.30,15.60,74.82
performanceMetrics.js:132 ,JS,"Chromium",,74,76.00,61.00,52990,13.69,10.40,15.90,86.49
performanceMetrics.js:132 ,JS,"Chromium",,72,73.00,60.00,53590,14.07,10.60,26.10,70.12
performanceMetrics.js:132 ,JS,"Chromium",,71,71.00,60.00,54190,14.12,10.60,17.50,68.46
performanceMetrics.js:132 ,JS,"Chromium",,71,72.00,61.00,54800,14.27,10.80,16.30,66.85
performanceMetrics.js:132 ,JS,"Chromium",,69,70.00,60.00,55400,14.69,11.00,24.60,70.65
performanceMetrics.js:132 ,JS,"Chromium",,68,69.00,60.00,56000,14.76,11.20,17.30,96.56
performanceMetrics.js:132 ,JS,"Chromium",,68,68.00,60.00,56600,14.85,11.20,16.80,80.37
performanceMetrics.js:132 ,JS,"Chromium",,65,68.00,61.00,57210,15.41,11.30,28.70,95.20
performanceMetrics.js:132 ,JS,"Chromium",,66,65.00,60.00,57810,15.28,11.40,17.20,69.85
performanceMetrics.js:132 ,JS,"Chromium",,65,66.00,61.00,58420,15.51,11.60,17.60,77.09
performanceMetrics.js:132 ,JS,"Chromium",,63,65.00,60.00,59020,16.03,11.80,29.50,87.50
performanceMetrics.js:132 ,JS,"Chromium",,63,63.00,61.00,59630,15.91,11.80,17.70,85.79
performanceMetrics.js:132 ,JS,"Chromium",,62,64.00,61.00,60240,16.19,12.00,17.90,79.01
performanceMetrics.js:132 ,JS,"Chromium",,61,62.00,60.00,60840,16.67,12.10,31.80,83.30
performanceMetrics.js:132 ,JS,"Chromium",,61,61.00,61.00,61450,16.47,13.90,18.80,72.18
performanceMetrics.js:132 ,JS,"Chromium",,60,61.00,60.00,62050,16.68,16.30,18.10,94.49
performanceMetrics.js:132 ,JS,"Chromium",,60,61.00,61.00,62660,16.88,16.50,18.40,77.46
performanceMetrics.js:132 ,JS,"Chromium",,58,60.00,61.00,63270,17.35,16.60,32.10,87.59
performanceMetrics.js:132 ,JS,"Chromium",,74,58.00,60.00,63820,13.65,12.60,15.10,103.51
performanceMetrics.js:132 ,JS,"Chromium",,57,73.00,61.00,63860,17.72,17.00,20.00,73.11
performanceMetrics.js:132 ,JS,"Chromium",,72,58.00,61.00,64420,13.96,12.70,24.00,73.76
performanceMetrics.js:132 ,JS,"Chromium",,57,71.00,60.00,64460,17.75,12.80,19.40,81.44
performanceMetrics.js:132 ,JS,"Chromium",,72,58.00,61.00,65010,13.93,12.80,15.70,83.64
performanceMetrics.js:132 ,JS,"Chromium",,55,72.00,60.00,65050,18.25,12.80,30.50,82.41
performanceMetrics.js:132 ,JS,"Chromium",,72,56.00,61.00,65590,14.07,12.90,15.70,84.36
performanceMetrics.js:132 ,JS,"Chromium",,55,71.00,60.00,65630,18.51,13.10,20.00,82.53
performanceMetrics.js:132 ,JS,"Chromium",,71,55.00,61.00,66180,14.20,13.00,15.60,79.93
performanceMetrics.js:132 ,JS,"Chromium",,53,70.00,60.00,66220,19.08,18.30,31.20,74.43
performanceMetrics.js:132 ,JS,"Chromium",,70,54.00,61.00,66770,14.31,13.10,15.70,105.69
performanceMetrics.js:132 ,JS,"Chromium",,53,70.00,60.00,66810,18.96,13.30,22.20,94.69
performanceMetrics.js:132 ,JS,"Chromium",,69,54.00,61.00,67350,14.65,13.20,23.10,103.69
performanceMetrics.js:132 ,JS,"Chromium",,53,68.00,60.00,67390,19.07,13.30,21.80,92.92
performanceMetrics.js:132 ,JS,"Chromium",,69,53.00,60.00,67940,14.62,13.40,16.20,79.66
performanceMetrics.js:132 ,JS,"Chromium",,52,68.00,61.00,67980,19.27,18.70,20.80,108.19
performanceMetrics.js:132 ,JS,"Chromium",,67,53.00,60.00,68520,14.99,13.50,26.00,71.13
performanceMetrics.js:132 ,JS,"Chromium",,52,67.00,60.00,68560,19.40,13.70,21.70,84.07
performanceMetrics.js:132 ,JS,"Chromium",,68,52.00,60.00,69110,14.90,13.60,16.30,76.48
performanceMetrics.js:132 ,JS,"Chromium",,51,67.00,61.00,69150,19.69,19.10,21.00,89.45
performanceMetrics.js:132 ,JS,"Chromium",,67,52.00,60.00,69700,15.02,13.70,16.40,111.49
performanceMetrics.js:132 ,JS,"Chromium",,50,66.00,61.00,69740,20.26,19.20,34.80,92.23
performanceMetrics.js:132 ,JS,"Chromium",,66,51.00,61.00,70290,15.17,13.90,16.60,74.11
performanceMetrics.js:132 ,JS,"Chromium",,51,66.00,61.00,70340,19.98,19.40,22.30,87.14
